Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,115.779999,116.000000,115.230003,115.839996,103.436539,5953000
2017-01-04,115.500000,116.230003,115.309998,115.650002,103.266876,5828900
2017-01-05,116.000000,116.970001,115.440002,116.860001,104.347321,6217200
2017-01-06,116.669998,117.000000,115.760002,116.300003,103.847282,5221400
2017-01-09,116.349998,116.610001,115.889999,116.279999,103.829422,5457500
2017-01-10,116.029999,117.000000,115.870003,116.160004,103.722282,5312800
2017-01-11,116.080002,116.250000,114.019997,114.730003,102.445381,8887200
2017-01-12,114.269997,114.730003,113.370003,114.620003,102.347160,6627300
2017-01-13,114.940002,115.019997,114.440002,114.599998,102.329300,4935200
2017-01-17,113.940002,115.050003,113.669998,114.870003,102.570389,6255400
2017-01-18,114.870003,115.099998,114.410004,114.699997,102.418610,5014600
2017-01-19,114.680000,114.900002,113.919998,114.199997,101.972122,5540800
2017-01-20,114.489998,115.029999,114.080002,114.150002,101.927490,7502400
2017-01-23,114.510002,114.769997,113.800003,113.910004,101.713188,7989800
2017-01-24,112.910004,113.300003,111.150002,111.760002,99.793396,12450300
2017-01-25,111.930000,112.800003,110.760002,112.800003,100.722046,9385500
2017-01-26,112.000000,112.839996,111.599998,111.839996,99.864815,10164300
2017-01-27,112.000000,113.540001,111.900002,113.379997,101.239937,8886100
2017-01-30,113.400002,113.599998,112.849998,113.129997,101.016701,6969400
2017-01-31,112.790001,113.400002,112.430000,113.250000,101.123863,8713400
2017-02-01,112.480003,113.320000,112.470001,113.230003,101.105995,7082300
2017-02-02,112.820000,113.620003,112.769997,113.570000,101.409592,7826300
2017-02-03,113.500000,113.660004,112.660004,113.639999,101.472099,7267600
2017-02-06,113.459999,113.589996,112.620003,113.400002,101.257790,6178400
2017-02-07,113.599998,113.620003,113.050003,113.480003,101.329239,5507900
2017-02-08,113.300003,113.690002,113.150002,113.400002,101.257790,5272000
2017-02-09,113.400002,114.650002,113.400002,114.080002,101.864975,5854600
2017-02-10,114.320000,115.989998,114.230003,115.239998,102.900772,6438500
2017-02-13,115.279999,116.120003,115.220001,115.879997,103.472260,5710800
2017-02-14,115.440002,116.400002,115.320000,116.360001,103.900841,5539100
2017-02-15,115.900002,117.459999,115.589996,117.199997,104.650887,5979700
2017-02-16,117.000000,118.279999,117.000000,118.080002,105.436668,7119300
2017-02-17,118.190002,118.900002,118.050003,118.860001,106.133156,8691400
2017-02-21,118.400002,119.889999,118.320000,119.660004,106.847511,8595100
2017-02-22,119.279999,119.769997,119.250000,119.519997,106.722488,5103900
2017-02-23,119.519997,121.900002,119.480003,121.699997,108.669075,9980900
2017-02-24,121.500000,122.739998,120.900002,122.730003,110.313957,10835000
2017-02-27,122.129997,122.879997,122.099998,122.400002,110.017334,5946200
2017-02-28,122.010002,122.650002,121.940002,122.209999,109.846542,8885500
2017-03-01,122.489998,124.449997,122.419998,123.860001,111.329620,9393900
2017-03-02,123.750000,124.360001,123.019997,123.629997,111.122887,6950200
2017-03-03,123.629997,123.930000,123.230003,123.790001,111.266708,5585200
2017-03-06,123.010002,124.430000,122.599998,123.709999,111.194801,6670700
2017-03-07,122.580002,124.459999,122.389999,123.830002,111.302673,6644000
2017-03-08,123.750000,124.680000,123.500000,124.099998,111.545349,7909900
2017-03-09,124.580002,126.209999,124.169998,125.949997,113.208183,8571100
2017-03-10,126.040001,126.489998,125.540001,126.209999,113.441887,7395400
2017-03-13,125.830002,126.949997,125.790001,126.680000,113.864342,7162500
2017-03-14,126.860001,127.750000,126.769997,127.050003,114.196922,7679700
2017-03-15,127.050003,129.000000,126.599998,128.960007,115.913689,8360600
2017-03-16,128.440002,128.699997,127.769997,128.460007,115.464287,7610700
2017-03-17,128.449997,128.940002,127.949997,128.059998,115.104729,13300800
2017-03-20,128.039993,128.419998,127.970001,128.070007,115.113739,5827500
2017-03-21,128.380005,128.449997,127.139999,127.250000,114.376678,7578600
2017-03-22,127.050003,127.650002,126.209999,126.260002,113.486832,10272700
2017-03-23,126.099998,127.000000,125.660004,125.900002,113.163254,8508100
2017-03-24,125.860001,126.360001,125.129997,125.480003,112.785736,6490300
2017-03-27,125.160004,126.139999,125.150002,125.800003,113.073372,5004300
2017-03-28,125.620003,125.779999,124.779999,125.660004,112.947525,5287600
2017-03-29,125.050003,125.330002,124.360001,124.919998,112.282387,3971800
2017-03-30,124.739998,125.430000,124.279999,124.660004,112.048691,4711700
2017-03-31,124.110001,124.830002,124.029999,124.550003,111.949829,5657600
2017-04-03,124.730003,125.309998,124.279999,124.690002,112.075661,4956400
2017-04-04,124.510002,124.769997,124.220001,124.680000,112.066681,5358500
2017-04-05,124.720001,125.599998,124.410004,124.800003,112.174545,5646300
2017-04-06,124.849998,125.459999,124.500000,125.050003,112.399246,4324200
2017-04-07,125.120003,125.470001,124.830002,124.919998,112.282387,3615100
2017-04-10,124.870003,124.949997,124.230003,124.339996,111.761047,4594200
2017-04-11,124.260002,124.790001,123.949997,124.220001,111.653214,4161500
2017-04-12,124.540001,125.459999,124.360001,125.400002,112.713821,5556600
2017-04-13,125.129997,125.650002,124.959999,124.989998,112.345306,5396500
2017-04-17,125.019997,125.809998,124.930000,125.720001,113.001472,5367500
2017-04-18,123.180000,123.370003,120.949997,121.820000,109.496017,13485700
2017-04-19,122.099998,122.279999,121.110001,121.370003,109.091545,6993100
2017-04-20,121.860001,122.150002,121.349998,121.870003,109.540947,6330100
2017-04-21,121.779999,122.040001,121.540001,121.760002,109.442078,6021700
2017-04-24,122.519997,123.209999,122.150002,122.889999,110.457756,5679000
2017-04-25,123.339996,123.750000,123.010002,123.430000,110.943123,5090000
2017-04-26,123.790001,124.260002,123.480003,123.510002,111.015038,5021800
2017-04-27,123.580002,124.309998,123.400002,123.739998,111.221771,4225200
2017-04-28,123.849998,123.900002,123.129997,123.470001,110.979073,4381800
2017-05-01,123.400002,123.779999,123.000000,123.339996,110.862236,4556400
2017-05-02,123.519997,123.739998,122.889999,123.699997,111.185814,4881600
2017-05-03,123.589996,123.699997,123.040001,123.330002,110.853233,3736500
2017-05-04,123.690002,123.949997,123.230003,123.949997,111.410515,3753700
2017-05-05,123.800003,123.800003,122.860001,123.510002,111.015038,4139800
2017-05-08,123.529999,123.800003,123.019997,123.250000,110.781342,3608600
2017-05-09,123.230003,123.470001,122.879997,123.209999,110.745384,3762500
2017-05-10,122.910004,123.059998,122.379997,122.809998,110.385849,4237400
2017-05-11,122.500000,123.209999,122.339996,123.199997,110.736389,4095900
2017-05-12,123.110001,124.099998,123.010002,123.639999,111.131882,4097100
2017-05-15,124.410004,127.360001,124.330002,126.989998,114.142982,9854600
2017-05-16,127.339996,128.369995,127.059998,127.769997,114.844063,7233800
2017-05-17,127.769997,127.889999,126.449997,126.669998,113.855354,6480800
2017-05-18,126.459999,127.870003,125.959999,126.970001,114.125008,6571300
2017-05-19,127.029999,127.389999,126.440002,127.000000,114.151978,6957200
2017-05-22,126.629997,127.650002,126.629997,127.260002,114.385666,4858200
2017-05-23,127.309998,128.149994,127.309998,127.519997,114.619362,3972500
2017-05-24,127.790001,128.000000,127.290001,127.510002,114.610390,3965200
2017-05-25,126.739998,127.620003,126.330002,127.529999,115.388496,5294300
2017-05-26,127.230003,127.669998,126.830002,126.919998,114.836571,4005200
2017-05-30,126.699997,127.389999,126.190002,127.110001,115.008484,3665400
2017-05-31,127.349998,128.800003,127.349998,128.250000,116.039963,8813500
2017-06-01,128.320007,128.779999,128.119995,128.779999,116.519508,5790900
2017-06-02,129.050003,130.139999,128.830002,130.080002,117.695740,6562600
2017-06-05,129.970001,130.520004,129.800003,130.360001,117.949066,4634700
2017-06-06,130.179993,131.330002,130.029999,130.830002,118.374321,5619100
2017-06-07,131.000000,131.479996,130.580002,130.750000,118.301926,5765200
2017-06-08,130.750000,131.399994,129.960007,130.550003,118.120979,8101700
2017-06-09,130.369995,131.699997,130.309998,131.529999,119.007675,5992500
2017-06-12,131.529999,131.830002,131.419998,131.820007,119.270073,8020700
2017-06-13,131.750000,132.729996,131.399994,132.020004,119.451042,5733800
2017-06-14,132.509995,133.559998,132.509995,132.770004,120.129639,7329400
2017-06-15,132.000000,133.350006,131.809998,133.039993,120.373909,5265000
2017-06-16,133.720001,134.600006,133.039993,134.350006,121.559219,12639600
2017-06-19,134.149994,134.679993,133.490005,134.070007,121.305847,7488700
2017-06-20,133.899994,134.759995,133.899994,134.220001,121.441589,5201200
2017-06-21,134.289993,135.110001,134.020004,134.910004,122.065895,5841100
2017-06-22,135.449997,137.000000,135.270004,136.050003,123.097351,7311000
2017-06-23,135.449997,136.509995,135.320007,136.429993,123.441170,9007100
2017-06-26,136.479996,136.899994,136.199997,136.339996,123.359741,5561800
2017-06-27,136.500000,136.729996,134.990005,135.009995,122.156349,6120500
2017-06-28,135.949997,136.199997,133.570007,133.820007,121.079643,6557900
2017-06-29,133.399994,133.729996,132.309998,132.639999,120.011993,5750000
2017-06-30,132.699997,133.199997,132.279999,132.289993,119.695328,5264400
2017-07-03,132.789993,133.320007,132.649994,132.899994,120.247269,2931000
2017-07-05,132.979996,134.059998,132.419998,133.639999,120.916794,4302700
2017-07-06,133.610001,133.970001,132.410004,132.520004,119.903450,4282200
2017-07-07,132.910004,133.000000,131.690002,132.539993,119.921524,4994100
2017-07-10,132.740005,132.869995,131.229996,131.550003,119.025795,4019600
2017-07-11,131.429993,131.789993,130.479996,131.229996,118.736244,3733100
2017-07-12,132.039993,132.889999,131.770004,132.229996,119.641022,5053200
